中文名,外文名,性别,国籍,出生日期,身高,体重,项目,省份
安-弗雷泽 ,Shelly-Ann Fraser-Pryce,女,牙买加,1986年11月27日,160,52,田径,
安吉尔·麦克康特利 ,Angel McCoughtry,女,美国,1986年9月10日,185,73,篮球,
毕晓琳 ,Bi Xiaolin,女,中国,1989年9月18日,,,足球,辽宁
阿莱克斯?加西亚 ,Alex Garcia,男,巴西,1980年3月4日,191,89,篮球,
保罗·乔治 ,Paul George,男,美国,1990年5月2日,203,95,篮球,
米西·富兰克林 ,Missy Franklin,女,美国,1995年5月10日,188,75,游泳,
李胜珍 ,Li Shengzhen,女,韩国,1985年3月7日,165,60,射箭,
马龙 ,Ma Long,男,中国,1988年10月20日,175,72,乒乓球,辽宁
拉尔斯-本德 ,Lars Bender,男,德国,1989年4月27日,184,77,男子足球,
木村纱织 ,Saori Kimura,女,日本,1986年8月19日,185,65,排球,
吕小军 ,Lv Xiaojun,男,中国,1984年7月27日,172,77,举重,湖北
米歇尔·普罗菲 ,Michelle Plouffe,女,加拿大,1992年9月15日,191,82,篮球,
林希妤 ,Lin Xiyu,女,中国,1996年2月25日,,,高尔夫,广东
米兰达·阿伊木 ,Miranda Ayim,女,加拿大,1988年5月6日,183,78,篮球,
李昊桐 ,Li Haotong,男,中国,1995年8月3日,183,75,高尔夫,湖南
毛艺 ,Mao Yi,女,中国,1999年9月,,,体操,辽宁
李龙大 ,Lee Yong Dae,男,韩国,1981年3月8日,178,65,羽毛球,
苗甜 ,Miao Tian,女,中国,1993年1月18日,,,赛艇,北京
李皓晴 ,Li Haoqing,女,中国香港,1992年11月,,,乒乓球,香港
马克·加索尔 ,Marc Gasol,男,西班牙,1985年1月29日,216,120,篮球,
马赛林霍?胡尔塔斯 ,Marcelinho Huertas,男,巴西,1983年5月25日,190,85,篮球,
马晓旭 ,MA Xiaoxu,女,中国,1988年6月5日,,,足球,辽宁
马英楠 ,Ma Ying Nan,女,中国,1984年,,,柔道,辽宁
马青 ,Ma Qing,女,中国,1992年8月24日,,,皮划艇静水,山东
马剑飞 ,Ma Jianfei,男,中国,1984年7月29日,186,77,击剑,广东
玛蒂娜·辛吉斯 ,Martina Hingis,女,瑞士,1980年9月30日,170,,网球,
马修·埃蒙斯 ,Matthew Emmons,男,美国,1981年4月5日,178,80,射击,
马思莱尼科夫 ,Vladimir MASLENNIKOV,男,俄罗斯,1994年8月17日,168,67,射击男子气步枪,
米尔扎 ,Sania Mirza,女,印度,1986年11月15日,173,57,网球,
内内?希拉里奥 ,Nene Hilario,男,巴西,1982年9月13日,211,113,篮球,
马金尼奥斯 ,Marquinhos,男,巴西,1994年5月14日,183,80,男子足球,
马修·德拉夫多瓦 ,Matthew Dellavedova,男,澳大利亚,1990年9月8日,193,86,篮球,
尼古拉斯·巴图姆 ,Nicolas Batum,男,法国,1988年12月14日,203,90,篮球,
毛飞廉 ,Mao Feilian,男,中国,1993年,,,游泳,浙江
马努·吉诺比利 ,Manu Ginobili,男,阿根廷,1977年7月28日,198,93,篮球,
诺瓦克·德约科维奇 ,Novak Djokovic,男,塞尔维亚,1987年5月22日,187,80,网球,
迈尔 ,Max Meyer,男,德国,1995年9月18日,173,69,男子足球,
马克·霍顿 ,Mark Houghton,男,澳大利亚,1997年,,,游泳,
娜塔莉·阿乔恩瓦 ,Natalie Achonwa,女,加拿大,1992年11月22日,192,83,篮球,
马欢欢 ,Ma Huanhuan,女,中国,1990年1月13日,178,73,女子水球,广西
马晋 ,?Ma Jin,女,中国,1988年5月7日,167,60,羽毛球,江苏
内瓦尔·塞娜 ,Saina Nehwal,女,印度,1990年3月17日,167,60,羽毛球,
梅笑寒 ,Mei Xiaohan,女,中国,1997年2月14日,,,水球,安徽
莫有雪 ,Mo Youxue,男,中国,1988年2月16日,179,65,田径,广东
内村航平 ,Kohei Uchimura,男,日本,1989年1月3日,161,55,体操,
孟强 ,Meng Qiang,男,中国,1987年7月3日,,,摔跤,
米奇?拉尔金 ,Mitch Larkin,男,澳大利亚,1993年7月9日,187,72,游泳,
内弗利耶·伊尔马兹 ,Nevriye Yilmaz,女,土耳其,1980年6月16日,194,85,篮球,
玛雅·摩尔 ,Maya Moore,女,美国,1989年6月11日,175,79,篮球,
马端斌 ,Ma Duan Bin,男,中国,1990年4月18日,,,柔道,北京
牛冠男 ,Niu Guannan,女,中国,1992年5月10日,,,水球,广西
马梦露 ,Ma Menglu,女,中国,1996年,,,自行车,河南
玛利亚·格罗兹德娃 ,Maria Grozdeva,女,保加利亚,1972年6月23日,163,66,射击,
内马尔 ,Neymar,男,巴西,1992年2月5日,175,64,男子足球,
莫有雪 ,Mo Youxue,男,中国,1988年2月16日,179,65,田径,广东
宁泽涛 ,Ning Zetao,男,中国,1993年3月6日,191,80,游泳,河南
朴泰桓 ,Park Tae-Hwan,男,韩国,1989年9月27日,183,74,游泳,
娜迪亚·考尔哈多 ,Nadia Colhado,女,巴西,1989年2月25日,194,84,篮球,
彭飞 ,Peng Fei,男,中国,1992年,,,摔跤,陕西西安
欧紫霞 ,Ou Zixia,女,中国,1995年,,,女子曲棍球,四川
乔·英格尔斯 ,Joe Ingles,男,澳大利亚,1987年10月2日,,,篮球,
潘飞鸿 ,Pan Feihong,女,中国,1989年7月17日,,53,赛艇,浙江
乔斯·卡尔德隆 ,Jose Calderon,男,西班牙,1981年9月28日,191,95,篮球,
庞丰月 ,PANG Fengyue,女,中国,1989年1月19日,,,足球,辽宁
切阳什姐 ,Qie Yangshijie,女,中国,1990年11月11日,159,47,田径,青海
彭帅 ,Peng Shuai,女,中国,1986年1月8日,173,65,网球,天津
萩野公介 ,Kosuke Hagino,男,日本,1994年8月15日,175,70,游泳,
庞伟 ,PangWei,男,中国,1986年7月19日,179,80,射击,河北
邱子傲 ,Qiu Ziao,男,中国,1998年12月,180,,游泳,上海
佩特拉·科维托娃 ,Petra Kvitova,女,捷克,1990年3月8日,183,70,网球,
邱波 ,Qiu Bo,男,中国,1993年1月31日,162,59,跳水,四川省
彭林 ,Peng Lin,女,中国,1995年4月4日,184,72,排球,湖南
奇甫倍 ,Ki Bo Bae,女,韩国,1988年2月20日,168,56,射箭,
彭杨 ,Peng Yang,女,中国,1992年1月17日,163,59,曲棍球,四川
秦凯 ,Qin Kai,男,中国,1986年1月31日,170,65,跳水,陕西省
宁泽涛 ,Ning Zetao,男,中国,1993年3月6日,191,80,游泳,河南
秦晨路 ,Qin Chenlu,男,中国,1992年,,,自行车,上海崇明
邵婷 ,Shao Ting,女,中国,1989年12月10日,188,75,篮球,上海
塞尔吉奥·罗德里格斯 ,Sergio Rodriguez,男,西班牙,1986年6月12日,191,80,篮球,
齐玉红 ,Qi Yuhong,女,中国,,,,射箭,
赛音吉日嘎拉 ,Sai Yin Ji Ri Ga La,男,中国,1989年12月4日,,,柔道,内蒙古自治区
孙晓 ,Sun Xiao,女,中国,1992年6月13日,,,曲棍球,江苏
秦钟午 ,Jin Jong-Oh,男,韩国,1975年9月24日,175,78,射击,
孙一文 ,Sun Yiwen,女,中国,1992年6月17日,177,,击剑,山东
松本勝夫 ,Cazuo Matsumoto,男,巴西,1986年6月22日,172,63,乒乓球,
乔治里奥?帕尔特里涅利 ,Gregorio Paltrinieri,男,意大利,1994年9月5日,191,72,游泳,
苏欣悦 ,SU Xinyue,女,中国,1991年11月8日,178,95,女子铁饼,河北
孙完虎 ,SON Wan Ho,男,韩国,1988年5月17日,177,69,羽毛球,
任梦茜 ,REN Mengqian,女,中国,1993年10月4日,178,65,女子撑杆跳,浙江
水谷隼 ,Mizutani Jun,男,日本,1989年6月9日,172,66,乒乓球,
石智勇 ,Shi Zhi Yong,男,中国:,1993年,,,举重,广西
瑞安·罗切特 ,Ryan Lochte,男,美国,1984年8月3日,188,87,游泳,
史婧琳 ,Shi Jinglin,女,中国,1993年1月3日,,,游泳,江苏
彭林 ,Peng Lin,女,中国,1995年4月4日,184,72,排球,湖南
沈晨 ,Shen Chen,女,中国,1990年7月28日,171,60,击剑,江苏
任文君 ,Ren Wenjun,女,中国,1992年1月15日,175,67,皮划艇激流,山东
沈铎 ,Shen Duo,女,中国,1997年,182,,游泳,江苏
孙伟 ,Sun Wei,男,中国,1992年10月27日,193,,击剑,江苏
入江陵介 ,Ryosuke Irie,男,日本,1990年1月24日,178,,游泳,
孙美晨 ,Sun Meichen,女,中国,1998年,,,游泳,河北
施嘉洛 ,Shi Jialuo,男,中国,1993年1月25日,184,,击剑,福建
任灿灿 ,Ren Cancan,女,中国,1988年1月26日,167,51,拳击,山东省
石川佳纯 ,Ishikawa Kasumi,女,日本,1993年2月23日,157,49,乒乓球,
商科元 ,Shang Keyuan,男,中国,1995年2月4日,,,游泳,浙江
山俊 ,Shan Jun,男,中国,1994年,,,拳击,云南
赛尔吉奥·鲁尔 ,Sergio Llull,男,西班牙,1987年11月15日,191,86,篮球,
孙妍在 ,Son Yeon-Jae,女,韩国,1994年5月28日,165,47,艺术体操,
尚蓉 ,Shang Rong,女,中国,2000年,,,艺术体操,辽宁
苏·伯德 ,Suzanne Brigit Bird,女,美国,1980年10月16日,175,68,篮球,
舒建明 ,Shu Jianming,男,中国,,,,皮划艇激流,四川
舒思瑶 ,Shu Siyao,女,中国,1992年9月12日,172,49,艺术体操,四川
孙兴慜 ,Son Heung-Min,男,韩国,1992年7月8日,182,76,男子足球,
孙满 ,Sun Man,男,中国,1995年8月22日,,,赛艇,辽宁
苏炳添 ,Su Bingtian,男,中国,1989年8月29日,172,65,田径,广东
孙杨 ,Sun Yang,男,中国,1991年12月1日,198,89,游泳,浙江
孙雅婷 ,Sun Ya Ting,女,中国,1988年2月24日,180,78,女子水球,天津
斯特格 ,Steger Bastian,男,德国,1981年,176,67,乒乓球,
宋冬伦 ,Song Dong Lun,女,中国,1991年4月28日,178,82,女子水球,北京
宋清龄 ,Song Qingling ,女,中国,1986年7月22日,174,71,女子曲棍球,辽宁
孙梦然 ,Sun Meng Ran,女,中国,1992年7月,197,77,篮球,天津
萨拉·埃拉尼 ,Sara Errani,女,意大利,1987年4月29日,164,60,网球,
孙梦昕 ,Sun Meng Xin,女,中国,1993年,190,77,篮球,山东
沈平安 ,Shen Ping'an,男,中国,1994年,,,自行车,四川宜宾
孙文雁 ,Sun Wenyan,女,中国,1989年12月27日,170,58,花样游泳,湖南
斯文-本德 ,Sven Bender,男,德国,1989年4月27日,184,77,男子足球,
孙玉洁 ,Sun Yujie,女,中国,1992年8月10日,185,72,击剑,辽宁
桑托?康多莱利 ,Santo Condorelli,男,加拿大,1995年1月7日,188,88,游泳,
索尔佳 ,Solja,女,德国,,,,乒乓球,
田涛 ,Tian Tao,男,中国,,,,举重,湖北宜昌
王宇 ,Wang Yu,男,中国,1991年8月18日,188,75,乒乓球,山东
睢冉 ,Sui Ran,男,中国,1992年6月25日,192,95,篮球,山西太原
图格斯·卡尼特兹 ,Tugce Canitez,女,土耳其,1990年11月10日,190,85,篮球,
王妍 ,Wang Yan,女,中国,1999年10月30日,140,,体操,北京
帖雅娜 ,Tie Yana,女,中国香港,1979年5月13日,,,乒乓球,
孙梦昕 ,Sun Meng Xin,女,中国,1993年,190,77,篮球,山东
唐奕 ,Tang Yi,女,中国,1993年1月8日,177,70,游泳,上海
王宇微 ,Wang Yuwei,女,中国,1991年,,,赛艇,内蒙古
托尼·帕克 ,Tony Parker,男,法国,1982年5月17日,188,82,篮球,
田志希 ,JEON Jihee,女,韩国,1992年10月28日,,,乒乓球,
王玮 ,Wang Wei,男,中国,1988年7月7日,,,帆船,浙江
唐功臣 ,Tang Gongcheng,男,中国,1989年4月24日,180,68,田径,河北
汤星强 ,Tang Qingqiang,男,中国,1995年8月11日,170,65,田径,福建
王莲媛 ,Wang Lianyuan,女,中国,1994年7月26日,,,铁人三项,山东
谭佳薪 ,Tan Jiaxin,女,中国,1996年12月3日,,,体操,湖南
吴静钰 ,Wu Jingyu,女,中国,1987年7月13日,167,49,跆拳道,江西
王娜 ,Wang Na,女,中国,1990年2月25日,,,排球,浙江
唐鹏 ,Tang Peng,男,中国香港,1981年2月4日,175,73,乒乓球,
王春雨 ,WANG Chunyu,女,中国,1995年1月17日,176,43,女子800米,安徽
吴海燕 ,WU Haiyan,女,中国,1993年2月26日,,,足球,浙江
汤梦妮 ,Tang Mengni,女,中国,1994年4月8日,169,59,花样游泳,上海
王凯华 ,Wang Kaihua,男,中国,1994年2月16日,175,55,田径,广东
维克多·克拉弗 ,Victor Claver ,男,西班牙,1988年8月30日,207,107,篮球,
谭茹殷 ,TAN Ruyin,女,中国,1994年7月17日,,,足球,广东
王振东 ,Wang Zhendong,男,中国,1991年1月11日,175,62,田径,江苏
汪雪儿 ,Wang Xueer,女,中国,1998年,,,游泳,广东
唐雨婷 ,Tang Yuting,女,中国,1999年,,,游泳,广东
吴水娇 ,WU Shuijiao,女,中国,1991年6月19日,176,65,女子100米栏,广东
